Name [EN],Type,BP Name,Force Spawn Command (Full Patch)
Field Medic Trousers,Legs,Armor_Legs_Medic_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Medic/Armor_Legs_Medic.Armor_Legs_Medic_C
Leto Mark I Armor,Body,Armor_Body_Leto1_C,summon /Game/World_Base/Items/Armor/Leto1/Armor_Body_Leto1.Armor_Body_Leto1_C
Leto Mark I Gloves,Gloves,Armor_Gloves_Leto1_C,summon /Game/World_Base/Items/Armor/Leto1/Armor_Gloves_Leto1.Armor_Gloves_Leto1_C
Leto Mark I Helmet,Head,Armor_Head_Leto1_C,summon /Game/World_Base/Items/Armor/Leto1/Armor_Head_Leto1.Armor_Head_Leto1_C
Leto Mark I Leggings,Legs,Armor_Legs_Leto1_C,summon /Game/World_Base/Items/Armor/Leto1/Armor_Legs_Leto1.Armor_Legs_Leto1_C
Leto Mark II Armor,Body,Armor_Body_Leto2_C,summon /Game/World_Base/Items/Armor/Leto2/Armor_Body_Leto2.Armor_Body_Leto2_C
Leto Mark II Gloves,Gloves,Armor_Gloves_Leto2_C,summon /Game/World_Base/Items/Armor/Leto2/Armor_Gloves_Leto2.Armor_Gloves_Leto2_C
Leto Mark II Helmet,Head,Armor_Head_Leto2_C,summon /Game/World_Base/Items/Armor/Leto2/Armor_Head_Leto2.Armor_Head_Leto2_C
Leto Mark II Leggings,Legs,Armor_Legs_Leto2_C,summon /Game/World_Base/Items/Armor/Leto2/Armor_Legs_Leto2.Armor_Legs_Leto2_C
Field Medic Hat,Head,Armor_Head_FieldCap_C,summon /Game/World_Base/Items/Armor/Misc/Armor_Head_FieldCap.Armor_Head_FieldCap_C
Crown of the Red Prince,Head,Armor_Head_RedPrince_C,summon /Game/World_Base/Items/Armor/Misc/Armor_Head_RedPrince.Armor_Head_RedPrince_C
Bandit Jacket,Body,Armor_Body_Bandit_C,summon /Game/World_Base/Items/Armor/Remnant1/Bandit/Armor_Body_Bandit.Armor_Body_Bandit_C
Bandit Gloves,Gloves,Armor_Gloves_Bandit_C,summon /Game/World_Base/Items/Armor/Remnant1/Bandit/Armor_Gloves_Bandit.Armor_Gloves_Bandit_C
Bandit's Mask,Head,Armor_Head_Bandit_C,summon /Game/World_Base/Items/Armor/Remnant1/Bandit/Armor_Head_Bandit.Armor_Head_Bandit_C
Bandit Trousers,Legs,Armor_Legs_Bandit_C,summon /Game/World_Base/Items/Armor/Remnant1/Bandit/Armor_Legs_Bandit.Armor_Legs_Bandit_C
Cultist Duster,Body,Armor_Body_Cultist_C,summon /Game/World_Base/Items/Armor/Remnant1/Cultist/Armor_Body_Cultist.Armor_Body_Cultist_C
Cultist Gloves,Gloves,Armor_Gloves_Cultist_C,summon /Game/World_Base/Items/Armor/Remnant1/Cultist/Armor_Gloves_Cultist.Armor_Gloves_Cultist_C
Cultist Hat,Head,Armor_Head_Cultist_C,summon /Game/World_Base/Items/Armor/Remnant1/Cultist/Armor_Head_Cultist.Armor_Head_Cultist_C
Cultist Britches,Legs,Armor_Legs_Cultist_C,summon /Game/World_Base/Items/Armor/Remnant1/Cultist/Armor_Legs_Cultist.Armor_Legs_Cultist_C
Elder Raiment,Body,Armor_Body_Elder_C,summon /Game/World_Base/Items/Armor/Remnant1/Elder/Armor_Body_Elder.Armor_Body_Elder_C
Elder Gloves,Gloves,Armor_Gloves_Elder_C,summon /Game/World_Base/Items/Armor/Remnant1/Elder/Armor_Gloves_Elder.Armor_Gloves_Elder_C
Elder Headdress,Head,Armor_Head_Elder_C,summon /Game/World_Base/Items/Armor/Remnant1/Elder/Armor_Head_Elder.Armor_Head_Elder_C
Elder Leggings,Legs,Armor_Legs_Elder_C,summon /Game/World_Base/Items/Armor/Remnant1/Elder/Armor_Legs_Elder.Armor_Legs_Elder_C
Radiant Protector,Body,Armor_Body_Radiant_C,summon /Game/World_Base/Items/Armor/Remnant1/Radiant/Armor_Body_Radiant.Armor_Body_Radiant_C
Radiant Bracers,Gloves,Armor_Gloves_Radiant_C,summon /Game/World_Base/Items/Armor/Remnant1/Radiant/Armor_Gloves_Radiant.Armor_Gloves_Radiant_C
Radiant Visage,Head,Armor_Head_Radiant_C,summon /Game/World_Base/Items/Armor/Remnant1/Radiant/Armor_Head_Radiant.Armor_Head_Radiant_C
Radiant Greaves,Legs,Armor_Legs_Radiant_C,summon /Game/World_Base/Items/Armor/Remnant1/Radiant/Armor_Legs_Radiant.Armor_Legs_Radiant_C
Void Carapace,Body,Armor_Body_Void_C,summon /Game/World_Base/Items/Armor/Remnant1/Void/Armor_Body_Void.Armor_Body_Void_C
Void Wraps,Gloves,Armor_Gloves_Void_C,summon /Game/World_Base/Items/Armor/Remnant1/Void/Armor_Gloves_Void.Armor_Gloves_Void_C
Void Skull,Head,Armor_Head_Void_C,summon /Game/World_Base/Items/Armor/Remnant1/Void/Armor_Head_Void.Armor_Head_Void_C
Void Greaves,Legs,Armor_Legs_Void_C,summon /Game/World_Base/Items/Armor/Remnant1/Void/Armor_Legs_Void.Armor_Legs_Void_C
Survivor Overcoat,Body,Armor_Body_Survivor_C,summon /Game/World_Base/Items/Armor/Survivor/Armor_Body_Survivor.Armor_Body_Survivor_C
Survivor Gloves,Gloves,Armor_Gloves_Survivor_C,summon /Game/World_Base/Items/Armor/Survivor/Armor_Gloves_Survivor.Armor_Gloves_Survivor_C
Survivor Mask,Head,Armor_Head_Survivor_C,summon /Game/World_Base/Items/Armor/Survivor/Armor_Head_Survivor.Armor_Head_Survivor_C
Survivor Leggings,Legs,Armor_Legs_Survivor_C,summon /Game/World_Base/Items/Armor/Survivor/Armor_Legs_Survivor.Armor_Legs_Survivor_C
Fae Royal Bodyplate,Body,Armor_Body_FaeRoyalGuard_C,summon /Game/World_Fae/Items/Armor/FaeRoyal/Armor_Body_FaeRoyalGuard.Armor_Body_FaeRoyalGuard_C
Fae Royal Vambraces,Gloves,Armor_Gloves_FaeRoyalGuard_C,summon /Game/World_Fae/Items/Armor/FaeRoyal/Armor_Gloves_FaeRoyalGuard.Armor_Gloves_FaeRoyalGuard_C
Fae Royal Headcover,Head,Armor_Head_FaeRoyalGuard_C,summon /Game/World_Fae/Items/Armor/FaeRoyal/Armor_Head_FaeRoyalGuard.Armor_Head_FaeRoyalGuard_C
Fae Royal Greaves,Legs,Armor_Legs_FaeRoyalGuard_C,summon /Game/World_Fae/Items/Armor/FaeRoyal/Armor_Legs_FaeRoyalGuard.Armor_Legs_FaeRoyalGuard_C
Lodestone Crown,Head,Armor_Head_LodestoneCrown_C,summon /Game/World_Jungle/Items/Armor/Armor_Head_LodestoneCrown.Armor_Head_LodestoneCrown_C
Red Widow Raiment,Body,Armor_Body_RedWidow_C,summon /Game/World_Jungle/Items/Armor/RedWidow/Armor_Body_RedWidow.Armor_Body_RedWidow_C
Red Widow Bracers,Gloves,Armor_Gloves_RedWidow_C,summon /Game/World_Jungle/Items/Armor/RedWidow/Armor_Gloves_RedWidow.Armor_Gloves_RedWidow_C
Red Widow Headdress,Head,Armor_Head_RedWidow_C,summon /Game/World_Jungle/Items/Armor/RedWidow/Armor_Head_RedWidow.Armor_Head_RedWidow_C
Red Widow Leggings,Legs,Armor_Legs_RedWidow_C,summon /Game/World_Jungle/Items/Armor/RedWidow/Armor_Legs_RedWidow.Armor_Legs_RedWidow_C
Navigator's Helm,Head,Armor_Head_PilotsHelm_C,summon /Game/World_Nerud/Items/Armor/Nerud_Pilot/Armor_Head_PilotsHelm.Armor_Head_PilotsHelm_C
Space Worker Body,Body,Armor_Body_SpaceWorker_C,summon /Game/World_Nerud/Items/Armor/SpaceWorker/Armor_Body_SpaceWorker.Armor_Body_SpaceWorker_C
Space Worker Gloves,Gloves,Armor_Gloves_SpaceWorker_C,summon /Game/World_Nerud/Items/Armor/SpaceWorker/Armor_Gloves_SpaceWorker.Armor_Gloves_SpaceWorker_C
Space Worker Mask,Head,Armor_Head_SpaceWorker_C,summon /Game/World_Nerud/Items/Armor/SpaceWorker/Armor_Head_SpaceWorker.Armor_Head_SpaceWorker_C
Space Worker Legs,Legs,Armor_Legs_SpaceWorker_C,summon /Game/World_Nerud/Items/Armor/SpaceWorker/Armor_Legs_SpaceWorker.Armor_Legs_SpaceWorker_C
Zealot's Overcoat,Body,Armor_Body_Ritualist_C,summon /Game/World_DLC1/Items/Archetypes/Ritualist/Armor/Armor_Body_Ritualist.Armor_Body_Ritualist_C
Zealot's Wraps,Gloves,Armor_Gloves_Ritualist_C,summon /Game/World_DLC1/Items/Archetypes/Ritualist/Armor/Armor_Gloves_Ritualist.Armor_Gloves_Ritualist_C
Zealot's Hat,Head,Armor_Head_Ritualist_C,summon /Game/World_DLC1/Items/Archetypes/Ritualist/Armor/Armor_Head_Ritualist.Armor_Head_Ritualist_C
Zealot's Seaboots,Legs,Armor_Legs_Ritualist_C,summon /Game/World_DLC1/Items/Archetypes/Ritualist/Armor/Armor_Legs_Ritualist.Armor_Legs_Ritualist_C
Crimson Guard Plate,Body,Armor_Body_CrimsonGuard_C,summon /Game/World_DLC1/Items/Armor/RedPrinceArmor/Armor_Body_CrimsonGuard.Armor_Body_CrimsonGuard_C
Crimson Guard Gauntlets,Gloves,Armor_Gloves_CrimsonGuard_C,summon /Game/World_DLC1/Items/Armor/RedPrinceArmor/Armor_Gloves_CrimsonGuard.Armor_Gloves_CrimsonGuard_C
Crimson Guard Shroud,Head,Armor_Head_CrimsonGuard_C,summon /Game/World_DLC1/Items/Armor/RedPrinceArmor/Armor_Head_CrimsonGuard.Armor_Head_CrimsonGuard_C
Crimson Guard Sabatons,Legs,Armor_Legs_CrimsonGuard_C,summon /Game/World_DLC1/Items/Armor/RedPrinceArmor/Armor_Legs_CrimsonGuard.Armor_Legs_CrimsonGuard_C
Bloodless Crown,Head,Armor_Head_BloodlessCrown_C,summon /Game/World_DLC2/Items/Armor/BloodlessCrown/Armor_Head_BloodlessCrown.Armor_Head_BloodlessCrown_C
Mudtooth's Hat,Head,Armor_Head_MudtoothsHat_C,summon /Game/World_DLC2/Items/Armor/MudtoothsHat/Armor_Head_MudtoothsHat.Armor_Head_MudtoothsHat_C
Top Hat,Head,Armor_Head_TopHat_C,summon /Game/World_DLC2/Items/Armor/TopHat/Armor_Head_TopHat.Armor_Head_TopHat_C
True Crimson Crown,Head,Armor_Head_TrueCrimsonCrown_C,summon /Game/World_DLC2/Items/Armor/TrueCrimsonCrown/Armor_Head_TrueCrimsonCrown.Armor_Head_TrueCrimsonCrown_C
Battle Shirt,Body,Armor_Body_Army_C,summon /Game/World_DLC2/Items/Armor/MilitaryUniform/Armor_Body_Army.Armor_Body_Army_C
Battle Gloves,Gloves,Armor_Gloves_Army_C,summon /Game/World_DLC2/Items/Armor/MilitaryUniform/Armor_Gloves_Army.Armor_Gloves_Army_C
Battle Helmet,Head,Armor_Head_Army_C,summon /Game/World_DLC2/Items/Armor/MilitaryUniform/Armor_Head_Army.Armor_Head_Army_C
Battle Slacks,Legs,Armor_Legs_Army_C,summon /Game/World_DLC2/Items/Armor/MilitaryUniform/Armor_Legs_Army.Armor_Legs_Army_C
Disciple Mantle,Body,Armor_Body_Invoker_C,summon /Game/World_DLC2/Items/Archetypes/Invoker/Armor/Armor_Body_Invoker.Armor_Body_Invoker_C
Disciple Vambraces,Gloves,Armor_Gloves_Invoker_C,summon /Game/World_DLC2/Items/Archetypes/Invoker/Armor/Armor_Gloves_Invoker.Armor_Gloves_Invoker_C
Disciple Headpiece,Head,Armor_Head_Invoker_C,summon /Game/World_DLC2/Items/Archetypes/Invoker/Armor/Armor_Head_Invoker.Armor_Head_Invoker_C
Disciple Greaves,Legs,Armor_Legs_Invoker_C,summon /Game/World_DLC2/Items/Archetypes/Invoker/Armor/Armor_Legs_Invoker.Armor_Legs_Invoker_C
Welding Goggles,Head,Armor_Head_WeldingGoggles_C,summon /Game/World_DLC3/Items/Armor/WeldingGoggles/Armor_Head_WeldingGoggles.Armor_Head_WeldingGoggles_C
Phetyr Chassis,Body,Armor_Body_NerudWarrior_C,summon /Game/World_DLC3/Items/Armor/NErudWarrior/Armor_Body_NerudWarrior.Armor_Body_NerudWarrior_C
Phetyr Crushers,Gloves,Armor_Gloves_NerudWarrior_C,summon /Game/World_DLC3/Items/Armor/NErudWarrior/Armor_Gloves_NerudWarrior.Armor_Gloves_NerudWarrior_C
Phetyr Sensor,Head,Armor_Head_NerudWarrior_C,summon /Game/World_DLC3/Items/Armor/NErudWarrior/Armor_Head_NerudWarrior.Armor_Head_NerudWarrior_C
Phetyr Locomotor,Legs,Armor_Legs_NerudWarrior_C,summon /Game/World_DLC3/Items/Armor/NErudWarrior/Armor_Legs_NerudWarrior.Armor_Legs_NerudWarrior_C
Nanoplated Vestments,Body,Armor_Body_Warden_C,summon /Game/World_DLC3/Items/Archetypes/Warden/Armor/Armor_Body_Warden.Armor_Body_Warden_C
Nanoplated Hands,Gloves,Armor_Gloves_Warden_C,summon /Game/World_DLC3/Items/Archetypes/Warden/Armor/Armor_Gloves_Warden.Armor_Gloves_Warden_C
Nanoplated Transmitter,Head,Armor_Head_Warden_C,summon /Game/World_DLC3/Items/Archetypes/Warden/Armor/Armor_Head_Warden.Armor_Head_Warden_C
Nanoplated Waist,Legs,Armor_Legs_Warden_C,summon /Game/World_DLC3/Items/Archetypes/Warden/Armor/Armor_Legs_Warden.Armor_Legs_Warden_C
-,Body,Armor_Body_Base_C,summon /Game/World_Base/Items/Armor/Base/Armor_Body_Base.Armor_Body_Base_C
-,Gloves,Armor_Gloves_Base_C,summon /Game/World_Base/Items/Armor/Base/Armor_Gloves_Base.Armor_Gloves_Base_C
-,Head,Armor_Head_Base_C,summon /Game/World_Base/Items/Armor/Base/Armor_Head_Base.Armor_Head_Base_C
-,Legs,Armor_Legs_Base_C,summon /Game/World_Base/Items/Armor/Base/Armor_Legs_Base.Armor_Legs_Base_C
-,Body,Armor_Body_Default_C,summon /Game/World_Base/Items/Armor/Default/Armor_Body_Default.Armor_Body_Default_C
-,Legs,Armor_Legs_Default_C,summon /Game/World_Base/Items/Armor/Default/Armor_Legs_Default.Armor_Legs_Default_C
-,Body,Armor_Body_Nude_C,summon /Game/World_Base/Items/Armor/Nude/Armor_Body_Nude.Armor_Body_Nude_C
-,Gloves,Armor_Gloves_Nude_C,summon /Game/World_Base/Items/Armor/Nude/Armor_Gloves_Nude.Armor_Gloves_Nude_C
-,Legs,Armor_Legs_Nude_C,summon /Game/World_Base/Items/Armor/Nude/Armor_Legs_Nude.Armor_Legs_Nude_C
Blooming Heart,Relic,Relic_Consumable_BloomingHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/BloomingHeart/Relic_Consumable_BloomingHeart.Relic_Consumable_BloomingHeart_C
Constrained Heart,Relic,Relic_Consumable_ConstrainedHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/ConstrainedHeart/Relic_Consumable_ConstrainedHeart.Relic_Consumable_ConstrainedHeart_C
Crystal Heart,Relic,Relic_Consumable_CrystalHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/CrystalHeart/Relic_Consumable_CrystalHeart.Relic_Consumable_CrystalHeart_C
Decayed Heart,Relic,Relic_Consumable_DecayedHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/DecayedHeart/Relic_Consumable_DecayedHeart.Relic_Consumable_DecayedHeart_C
Diverting Heart,Relic,Relic_Consumable_DivertingHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/DivertingHeart/Relic_Consumable_DivertingHeart.Relic_Consumable_DivertingHeart_C
Enlarged Heart,Relic,Relic_Consumable_EnlargedHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/EnlargedHeart/Relic_Consumable_EnlargedHeart.Relic_Consumable_EnlargedHeart_C
Lifeless Heart,Relic,Relic_Consumable_LifelessHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/LifelessHeart/Relic_Consumable_LifelessHeart.Relic_Consumable_LifelessHeart_C
Pulsing Heart,Relic,Relic_Consumable_PulsingHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/PulsingHeart/Relic_Consumable_PulsingHeart.Relic_Consumable_PulsingHeart_C
Quilted Heart,Relic,Relic_Consumable_QuiltedHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/QuiltedHeart/Relic_Consumable_QuiltedHeart.Relic_Consumable_QuiltedHeart_C
Reprocessed Heart,Relic,Relic_Consumable_ReprocessedHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/ReprocessedHeart/Relic_Consumable_ReprocessedHeart.Relic_Consumable_ReprocessedHeart_C
Resonating Heart,Relic,Relic_Consumable_ResonatingHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/ResonatingHeart/Relic_Consumable_ResonatingHeart.Relic_Consumable_ResonatingHeart_C
Ripened Heart,Relic,Relic_Consumable_RipenedHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/RipenedHeart/Relic_Consumable_RipenedHeart.Relic_Consumable_RipenedHeart_C
Runed Heart,Relic,Relic_Consumable_RunedHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/RunedHeart/Relic_Consumable_RunedHeart.Relic_Consumable_RunedHeart_C
Salvaged Heart,Relic,Relic_Consumable_SalvagedHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/SalvagedHeart/Relic_Consumable_SalvagedHeart.Relic_Consumable_SalvagedHeart_C
Shielded Heart,Relic,Relic_Consumable_ShieldedHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/ShieldedHeart/Relic_Consumable_ShieldedHeart.Relic_Consumable_ShieldedHeart_C
Siphon Heart,Relic,Relic_Consumable_SiphonHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/SiphonHeart/Relic_Consumable_SiphonHeart.Relic_Consumable_SiphonHeart_C
Tormented Heart,Relic,Relic_Consumable_TormentedHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/TormentedHeart/Relic_Consumable_TormentedHeart.Relic_Consumable_TormentedHeart_C
Tranquil Heart,Relic,Relic_Consumable_TranquilHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/TranquilHeart/Relic_Consumable_TranquilHeart.Relic_Consumable_TranquilHeart_C
Unsullied Heart,Relic,Relic_Consumable_UnsulliedHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/UnsulliedHeart/Relic_Consumable_UnsulliedHeart.Relic_Consumable_UnsulliedHeart_C
Void Heart,Relic,Relic_Consumable_VoidHeart_C,summon /Game/World_Base/Items/Armor/Base/RelicTesting/VoidHeart/Relic_Consumable_VoidHeart.Relic_Consumable_VoidHeart_C
Broken Heart,Relic,Relic_Consumable_BrokenHeart_C,summon /Game/World_DLC1/Items/Relics/BrokenHeart/Relic_Consumable_BrokenHeart.Relic_Consumable_BrokenHeart_C
Paper Heart,Relic,Relic_Consumable_PaperHeart_C,summon /Game/World_DLC1/Items/Relics/PaperHeart/Relic_Consumable_PaperHeart.Relic_Consumable_PaperHeart_C
Bloodless Heart,Relic,Relic_Consumable_BloodlessHeart_C,summon /Game/World_DLC2/Items/Relics/BloodlessHeart/Relic_Consumable_BloodlessHeart.Relic_Consumable_BloodlessHeart_C
Profane Heart,Relic,Relic_Consumable_profaneHeart_C,summon /Game/World_DLC2/Items/Relics/profaneHeart/Relic_Consumable_profaneHeart.Relic_Consumable_profaneHeart_C
Gossamer Heart,Relic,Relic_Consumable_GossamerHeart_C,summon /Game/World_DLC3/Items/Relics/GossamerHeart/Relic_Consumable_GossamerHeart.Relic_Consumable_GossamerHeart_C
Latent Heart,Relic,Relic_Consumable_LatentHeart_C,summon /Game/World_DLC3/Items/Relics/LatentHeart/Relic_Consumable_LatentHeart.Relic_Consumable_LatentHeart_C
Butcher's Fetish,Amulet,Amulet_ButchersFetish_C,summon /Game/World_Base/Items/Trinkets/Amulets/ButchersFetish/Amulet_ButchersFetish.Amulet_ButchersFetish_C
Daredevil's Charm,Amulet,Amulet_DaredevilsCharm_C,summon /Game/World_Base/Items/Trinkets/Amulets/DaredevilsCharm/Amulet_DaredevilsCharm.Amulet_DaredevilsCharm_C
Gunslinger's Charm,Amulet,Amulet_GunslingersCharm_C,summon /Game/World_Base/Items/Trinkets/Amulets/GunslingersCharm/Amulet_GunslingersCharm.Amulet_GunslingersCharm_C
Leto's Amulet,Amulet,Amulet_LetosAmulet_C,summon /Game/World_Base/Items/Trinkets/Amulets/LetosAmulet/Amulet_LetosAmulet.Amulet_LetosAmulet_C
Nightmare Spiral,Amulet,Amulet_NightmareSpiral_C,summon /Game/World_Base/Items/Trinkets/Amulets/NightmareSpiral/Amulet_NightmareSpiral.Amulet_NightmareSpiral_C
Onyx Pendulum,Amulet,Amulet_OnyxPendulum_C,summon /Game/World_Base/Items/Trinkets/Amulets/OnyxPendulum/Amulet_OnyxPendulum.Amulet_OnyxPendulum_C
Twisted Idol,Amulet,Amulet_TwistedIdol_C,summon /Game/World_Base/Items/Trinkets/Amulets/TwistedIdol/Amulet_TwistedIdol.Amulet_TwistedIdol_C
Chains Of Amplification,Amulet,Amulet_ChainsOfAmplification_C,summon /Game/World_Fae/Items/Trinkets/Amulets/ChainsOfAmplification/Amulet_ChainsOfAmplification.Amulet_ChainsOfAmplification_C
Cleansing Stone,Amulet,Amulet_CleansingStone_C,summon /Game/World_Fae/Items/Trinkets/Amulets/CleansingStone/Amulet_CleansingStone.Amulet_CleansingStone_C
Shock Device,Amulet,Amulet_ShockDevice_C,summon /Game/World_Fae/Items/Trinkets/Amulets/ConductivePadding/Amulet_ShockDevice.Amulet_ShockDevice_C
Effigy Pendant,Amulet,Amulet_EffigyPendant_C,summon /Game/World_Fae/Items/Trinkets/Amulets/EffigyPendant/Amulet_EffigyPendant.Amulet_EffigyPendant_C
Golden Ribbon,Amulet,Amulet_GoldenRibbon_C,summon /Game/World_Fae/Items/Trinkets/Amulets/GoldenRibbon/Amulet_GoldenRibbon.Amulet_GoldenRibbon_C
Indignant Fetish,Amulet,Amulet_IndignantFetish_C,summon /Game/World_Fae/Items/Trinkets/Amulets/IndignantFetish/Amulet_IndignantFetish.Amulet_IndignantFetish_C
Jester's Bell,Amulet,Amulet_JestersBell_C,summon /Game/World_Fae/Items/Trinkets/Amulets/JestersBell/Amulet_JestersBell.Amulet_JestersBell_C
Neckbone Necklace,Amulet,Amulet_NeckboneNecklace_C,summon /Game/World_Fae/Items/Trinkets/Amulets/NeckboneNecklace/Amulet_NeckboneNecklace.Amulet_NeckboneNecklace_C
Nightweaver's Grudge,Amulet,Amulet_NightweaversGrudge_C,summon /Game/World_Fae/Items/Trinkets/Amulets/NightweaversGrudge/Amulet_NightweaversGrudge.Amulet_NightweaversGrudge_C
Nimue's Ribbon,Amulet,Amulet_NimuesRibbon_C,summon /Game/World_Fae/Items/Trinkets/Amulets/NimuesRibbon/Amulet_NimuesRibbon.Amulet_NimuesRibbon_C
One-Eyed Joker Idol,Amulet,Amulet_OneEyedJokerIdol_C,summon /Game/World_Fae/Items/Trinkets/Amulets/OneEyedJokerIdol/Amulet_OneEyedJokerIdol.Amulet_OneEyedJokerIdol_C
One True King Sigil,Amulet,Amulet_OneTrueKingSigil_C,summon /Game/World_Fae/Items/Trinkets/Amulets/OneTrueKingSigil/Amulet_OneTrueKingSigil.Amulet_OneTrueKingSigil_C
Shaed Bloom Crystal,Amulet,Amulet_ShadeBloomCrystal_C,summon /Game/World_Fae/Items/Trinkets/Amulets/ShadeBloomFloret/Amulet_ShadeBloomCrystal.Amulet_ShadeBloomCrystal_C
Silver Ribbon,Amulet,Amulet_SilverRibbon_C,summon /Game/World_Fae/Items/Trinkets/Amulets/SilverRibbon/Amulet_SilverRibbon.Amulet_SilverRibbon_C
Spirit Wisp Amulet,Amulet,Amulet_SpiritWispAmulet_C,summon /Game/World_Fae/Items/Trinkets/Amulets/SpiritWispAmulet/Amulet_SpiritWispAmulet.Amulet_SpiritWispAmulet_C
Weightless Weight,Amulet,Amulet_WeightlessWeight_C,summon /Game/World_Fae/Items/Trinkets/Amulets/WeightlessWeight/Amulet_WeightlessWeight.Amulet_WeightlessWeight_C
Death's Embrace,Amulet,Amulet_DeathsEmbrace_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/DeathsEmbrace/Amulet_DeathsEmbrace.Amulet_DeathsEmbrace_C
Downward Spiral,Amulet,Amulet_DownwardSpiral_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/DownwardSpiral/Amulet_DownwardSpiral.Amulet_DownwardSpiral_C
Full Moon Circlet,Amulet,Amulet_FullMoonCirclet_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/FullMoonCirclet/Amulet_FullMoonCirclet.Amulet_FullMoonCirclet_C
Hallowed Egg,Amulet,Amulet_HallowedEgg_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/HallowedEgg/Amulet_HallowedEgg.Amulet_HallowedEgg_C
Kuri Kuri Charm,Amulet,Amulet_KuriKuriCharm_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/KuriKuriCharm/Amulet_KuriKuriCharm.Amulet_KuriKuriCharm_C
Laemir Censer,Amulet,Amulet_LaemirCenser_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/LaemirCenser/Amulet_LaemirCenser.Amulet_LaemirCenser_C
Matriarchs Insignia,Amulet,Amulet_MatriarchsInsignia_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/MatriarchsInsignia/Amulet_MatriarchsInsignia.Amulet_MatriarchsInsignia_C
Necklace Of Flowing Life,Amulet,Amulet_NecklaceOfFlowingLife_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/NecklaceOfFlowingLife/Amulet_NecklaceOfFlowingLife.Amulet_NecklaceOfFlowingLife_C
Necklace Of Supremacy,Amulet,Amulet_NecklaceOfSupremacy_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/NecklaceOfSumpremacy/Amulet_NecklaceOfSupremacy.Amulet_NecklaceOfSupremacy_C
Ravager's Mark,Amulet,Amulet_RavagersMark_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/RavagersMark/Amulet_RavagersMark.Amulet_RavagersMark_C
Red Doe Sigil,Amulet,Amulet_RedDoeSigil_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/RedDoeSigil/Amulet_RedDoeSigil.Amulet_RedDoeSigil_C
Scavenger's Bauble,Amulet,Amulet_ScavengersBauble_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/ScavengersBauble/Amulet_ScavengersBauble.Amulet_ScavengersBauble_C
Soul Anchor,Amulet,Amulet_SoulAnchor_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/SoulAnchor/Amulet_SoulAnchor.Amulet_SoulAnchor_C
Stalker's Brand,Amulet,Amulet_StalkersBrand_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/StalkersBrand/Amulet_StalkersBrand.Amulet_StalkersBrand_C
Talisman Of The Sun,Amulet,Amulet_TalismanOfTheSun_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/TalismanOfTheSun/Amulet_TalismanOfTheSun.Amulet_TalismanOfTheSun_C
Vengeance Idol,Amulet,Amulet_VengeanceIdol_C,summon /Game/World_Jungle/Items/Trinkets/Amulets/VengeanceIdol/Amulet_VengeanceIdol.Amulet_VengeanceIdol_C
Energized Neck Coil,Amulet,Amulet_EnergizedNeckCoil_C,summon /Game/World_Labyrinth/Items/Trinkets/Amulets/EnergizedNeckCoil/Amulet_EnergizedNeckCoil.Amulet_EnergizedNeckCoil_C
Gunfire Security Lanyard,Amulet,Amulet_GunfireSecurityLanyard_C,summon /Game/World_Labyrinth/Items/Trinkets/Amulets/GunfireSecurityLanyard/Amulet_GunfireSecurityLanyard.Amulet_GunfireSecurityLanyard_C
